"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"R5N Extra Large","r5n.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","1150 Mbps","143.75 MB/s","6000 IOPS","4750 Mbps","143.75 MB/s","18750 IOPS","$217.5400 monthly","$137.2400 monthly","$89.2060 monthly"
"C7A Medium","c7a.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","325 Mbps","40.625 MB/s","2500 IOPS","10000 Mbps","40.625 MB/s","40000 IOPS","$37.4636 monthly","$24.7835 monthly","$10.5850 monthly"
"M6I Double Extra Large","m6i.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$280.3200 monthly","$185.4346 monthly","$92.7830 monthly"
"R7I 16xlarge","r7i.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$3090.5280 monthly","$2044.3869 monthly","$751.0970 monthly"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","36 vCPUs","EBS only","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1116.9000 monthly","$703.7200 monthly","$395.5870 monthly"
"M5A 16xlarge","m5a.16xlarge","256.0 GiB","64 vCPUs","EBS only","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$2008.9600 monthly","$1265.8200 monthly","$633.7130 monthly"
"C6A 32xlarge","c6a.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$3574.0800 monthly","$2364.2510 monthly","$920.2380 monthly"
"M7I Metal-48xl","m7i.metal-48xl","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$7064.0640 monthly","$4672.8760 monthly","$816.8700 monthly"
"R6G Medium","r6g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","4750 Mbps","39.375 MB/s","20000 IOPS","$36.7920 monthly","$23.2140 monthly","$10.1470 monthly"
"C7GN Extra Large","c7gn.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 40 Gigabit","2083 Mbps","260.375 MB/s","8333 IOPS","10000 Mbps","260.375 MB/s","40000 IOPS","$182.2080 monthly","$114.7560 monthly","$40.0040 monthly"
"C6A Large","c6a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$55.8450 monthly","$36.9380 monthly","$17.2280 monthly"
