Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
C6A Quadruple Extra Large,c6a.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
I4G Double Extra Large,i4g.2xlarge,64.0 GiB,8 vCPUs,1875 GB                 NVMe SSD,Up to 12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,10000.00,40000.00
C8G Quadruple Extra Large,c8g.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
G2 Double Extra Large,g2.2xlarge,15.0 GiB,8 vCPUs,EBS only,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
VT1 3xlarge,vt1.3xlarge,24.0 GiB,12 vCPUs,EBS only,3.12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2375.00,4750.00,296.88,593.75,10000.00,20000.00
M5ZN Double Extra Large,m5zn.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R3 High-Memory Double Extra Large,r3.2xlarge,61.0 GiB,8 vCPUs,160 GB                 SSD,High,unavailable,unavailable,unavailable,unavailable,unavailable
X2GD Double Extra Large,x2gd.2xlarge,128.0 GiB,8 vCPUs,475 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2375.00,4750.00,296.88,593.75,12000.00,20000.00
C5AD Quadruple Extra Large,c5ad.4xlarge,32.0 GiB,16 vCPUs,600 GB                 (2 * 300 GB NVMe SSD),Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1580.00,3170.00,197.50,396.25,6600.00,13300.00
M5A Quadruple Extra Large,m5a.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M6A Quadruple Extra Large,m6a.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
M8G Quadruple Extra Large,m8g.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
IM4GN Double Extra Large,im4gn.2xlarge,32.0 GiB,8 vCPUs,3750 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
Z1D Double Extra Large,z1d.2xlarge,64.0 GiB,8 vCPUs,300 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7IZ Double Extra Large,r7iz.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,3168.00,10000.00,396.00,1250.00,13333.00,40000.00
G3S Extra Large,g3s.xlarge,30.5 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X8G Double Extra Large,x8g.2xlarge,128.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30.0 GiB,16 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
M4 General Purpose Quadruple Extra Large,m4.4xlarge,64.0 GiB,16 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
C6ID Quadruple Extra Large,c6id.4xlarge,32.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
M5AD Quadruple Extra Large,m5ad.4xlarge,64.0 GiB,16 vCPUs,600 GB                 (2 * 300 GB NVMe SSD),Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G5G Quadruple Extra Large,g5g.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X1E Extra Large,x1e.xlarge,122.0 GiB,4 vCPUs,120 GB                 SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30.0 GiB,16 vCPUs,320 GB                 (2 * 160 GB SSD),High,unavailable,unavailable,unavailable,unavailable,unavailable
I2 Extra Large,i2.xlarge,30.5 GiB,4 vCPUs,800 GB                 SSD,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
G4AD Quadruple Extra Large,g4ad.4xlarge,64.0 GiB,16 vCPUs,600 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1580.00,3170.00,197.50,396.25,6700.00,13333.00
P2 General Purpose GPU Extra Large,p2.xlarge,61.0 GiB,4 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
R5A Quadruple Extra Large,r5a.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A Quadruple Extra Large,r6a.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
H1 Quadruple Extra Large,h1.4xlarge,64.0 GiB,16 vCPUs,4000 GB                 (2 * 2000 GB HDD),Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R8G Quadruple Extra Large,r8g.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
M6ID Quadruple Extra Large,m6id.4xlarge,64.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
M5N Quadruple Extra Large,m5n.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M2 High Memory Quadruple Extra Large,m2.4xlarge,68.4 GiB,8 vCPUs,1680 GB                 (2 * 840 GB HDD),High,unavailable,unavailable,unavailable,unavailable,unavailable
M5ZN 3xlarge,m5zn.3xlarge,48.0 GiB,12 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C7GN Quadruple Extra Large,c7gn.4xlarge,32.0 GiB,16 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,8333.00,10000.00,1041.62,1250.00,33333.00,40000.00
D3 Double Extra Large,d3.2xlarge,64.0 GiB,8 vCPUs,11880 GB                 (6 * 1980 GB NVMe HDD),Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1700.00,2800.00,212.50,350.00,10000.00,15000.00
R5AD Quadruple Extra Large,r5ad.4xlarge,128.0 GiB,16 vCPUs,600 GB                 (2 * 300 GB NVMe SSD),Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
D3EN Double Extra Large,d3en.2xlarge,32.0 GiB,8 vCPUs,55920 GB                 (4 * 13980 GB NVMe HDD),Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1700.00,2800.00,212.50,350.00,10000.00,15000.00
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5DN Quadruple Extra Large,m5dn.4xlarge,64.0 GiB,16 vCPUs,600 GB                 (2 * 300 GB NVMe SSD),Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
Z1D 3xlarge,z1d.3xlarge,96.0 GiB,12 vCPUs,450 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,122.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
IS4GEN Double Extra Large,is4gen.2xlarge,48.0 GiB,8 vCPUs,7500 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
R6ID Quadruple Extra Large,r6id.4xlarge,128.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
C6A Eight Extra Large,c6a.8xlarge,64.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
I4G Quadruple Extra Large,i4g.4xlarge,128.0 GiB,16 vCPUs,3750 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
C8G Eight Extra Large,c8g.8xlarge,64.0 GiB,32 vCPUs,EBS only,15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
VT1 6xlarge,vt1.6xlarge,48.0 GiB,24 vCPUs,EBS only,6.25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R3 High-Memory Quadruple Extra Large,r3.4xlarge,122.0 GiB,16 vCPUs,320 GB                 SSD,High,unavailable,unavailable,unavailable,unavailable,unavailable
X2GD Quadruple Extra Large,x2gd.4xlarge,256.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
TRN1 Double Extra Large,trn1.2xlarge,32.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,20000.00,625.00,2500.00,16250.00,65000.00
G5G Eight Extra Large,g5g.8xlarge,64.0 GiB,32 vCPUs,EBS only,12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD Eight Extra Large,c5ad.8xlarge,64.0 GiB,32 vCPUs,1200 GB                 (2 * 600 GB NVMe SSD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5A Eight Extra Large,m5a.8xlarge,128.0 GiB,32 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M6A Eight Extra Large,m6a.8xlarge,128.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M8G Eight Extra Large,m8g.8xlarge,128.0 GiB,32 vCPUs,EBS only,15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
IM4GN Quadruple Extra Large,im4gn.4xlarge,64.0 GiB,16 vCPUs,7500 GB                 NVMe SSD,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7IZ Quadruple Extra Large,r7iz.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
X8G Quadruple Extra Large,x8g.4xlarge,256.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
C4 High-CPU Eight Extra Large,c4.8xlarge,60.0 GiB,36 vCPUs,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6ID Eight Extra Large,c6id.8xlarge,64.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5AD Eight Extra Large,m5ad.8xlarge,128.0 GiB,32 vCPUs,1200 GB                 (2 * 600 GB NVMe SSD),Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F1 Double Extra Large,f1.2xlarge,122.0 GiB,8 vCPUs,470 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X1E Double Extra Large,x1e.2xlarge,244.0 GiB,8 vCPUs,240 GB                 SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X2IEZN Double Extra Large,x2iezn.2xlarge,256.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C3 High-CPU Eight Extra Large,c3.8xlarge,60.0 GiB,32 vCPUs,640 GB                 (2 * 320 GB SSD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
HPC7G Eight Extra Large,hpc7g.8xlarge,128.0 GiB,32 vCPUs,EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,87.00,2085.00,10.88,260.62,500.00,11000.00
HPC7G 16xlarge,hpc7g.16xlarge,128.0 GiB,64 vCPUs,EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,87.00,2085.00,10.88,260.62,500.00,11000.00
HPC7G Quadruple Extra Large,hpc7g.4xlarge,128.0 GiB,16 vCPUs,EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,87.00,2085.00,10.88,260.62,500.00,11000.00
I2 Double Extra Large,i2.2xlarge,61.0 GiB,8 vCPUs,1600 GB                 (2 * 800 GB SSD),High,unavailable,unavailable,unavailable,unavailable,unavailable
G4AD Eight Extra Large,g4ad.8xlarge,128.0 GiB,32 vCPUs,1200 GB                 NVMe SSD,15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R5A Eight Extra Large,r5a.8xlarge,256.0 GiB,32 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A Eight Extra Large,r6a.8xlarge,256.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A 12xlarge,c6a.12xlarge,96.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G6E Extra Large,g6e.xlarge,32.0 GiB,4 vCPUs,250 GB                 NVMe SSD,Up to 20 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1000.00,5000.00,125.00,625.00,4000.00,20000.00
H1 Eight Extra Large,h1.8xlarge,128.0 GiB,32 vCPUs,8000 GB                 (4 * 2000 GB HDD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R8G Eight Extra Large,r8g.8xlarge,256.0 GiB,32 vCPUs,EBS only,15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M6ID Eight Extra Large,m6id.8xlarge,128.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5N Eight Extra Large,m5n.8xlarge,128.0 GiB,32 vCPUs,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8G 12xlarge,c8g.12xlarge,96.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5ZN 6xlarge,m5zn.6xlarge,96.0 GiB,24 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C7GN Eight Extra Large,c7gn.8xlarge,64.0 GiB,32 vCPUs,EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,16667.00,20000.00,2083.38,2500.00,66667.00,80000.00
D3 Quadruple Extra Large,d3.4xlarge,128.0 GiB,16 vCPUs,23760 GB                 (12 * 1980 GB NVMe HDD),Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M4 General Purpose Deca Extra Large,m4.10xlarge,160.0 GiB,40 vCPUs,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5A 12xlarge,m5a.12xlarge,192.0 GiB,48 vCPUs,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD 12xlarge,c5ad.12xlarge,96.0 GiB,48 vCPUs,1800 GB                 (2 * 900 GB NVMe SSD),12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M6A 12xlarge,m6a.12xlarge,192.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R5AD Eight Extra Large,r5ad.8xlarge,256.0 GiB,32 vCPUs,1200 GB                 (2 * 600 GB NVMe SSD),Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
D3EN Quadruple Extra Large,d3en.4xlarge,64.0 GiB,16 vCPUs,111840 GB                 (8 * 13980 GB NVMe HDD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R4 High-Memory Eight Extra Large,r4.8xlarge,244.0 GiB,32 vCPUs,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M8G 12xlarge,m8g.12xlarge,192.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5DN Eight Extra Large,m5dn.8xlarge,128.0 GiB,32 vCPUs,1200 GB                 (2 * 600 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
Z1D 6xlarge,z1d.6xlarge,192.0 GiB,24 vCPUs,900 GB                 NVMe SSD,12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G6E Double Extra Large,g6e.2xlarge,64.0 GiB,8 vCPUs,450 GB                 NVMe SSD,Up to 20 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2000.00,5000.00,250.00,625.00,8000.00,20000.00
G3 Graphics GPU Eight Extra Large,g3.8xlarge,244.0 GiB,32 vCPUs,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
IS4GEN Quadruple Extra Large,is4gen.4xlarge,96.0 GiB,16 vCPUs,15000 GB                 (2 * 7500 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID Eight Extra Large,r6id.8xlarge,256.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6ID 12xlarge,c6id.12xlarge,96.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A 16xlarge,c6a.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
I4G Eight Extra Large,i4g.8xlarge,256.0 GiB,32 vCPUs,7500 GB                 (2 * 3750 GB NVMe SSD),18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5AD 12xlarge,m5ad.12xlarge,192.0 GiB,48 vCPUs,1800 GB                 (2 * 900 GB NVMe SSD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8G 16xlarge,c8g.16xlarge,128.0 GiB,64 vCPUs,EBS only,30 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G2 Eight Extra Large,g2.8xlarge,60.0 GiB,32 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
R3 High-Memory Eight Extra Large,r3.8xlarge,244.0 GiB,32 vCPUs,640 GB                 (2 * 320 GB SSD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X2GD Eight Extra Large,x2gd.8xlarge,512.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R5A 12xlarge,r5a.12xlarge,384.0 GiB,48 vCPUs,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A 12xlarge,r6a.12xlarge,384.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G5G Metal,g5g.metal,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G5G 16xlarge,g5g.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5A 16xlarge,m5a.16xlarge,256.0 GiB,64 vCPUs,EBS only,12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD 16xlarge,c5ad.16xlarge,128.0 GiB,64 vCPUs,2400 GB                 (2 * 1200 GB NVMe SSD),20 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M6A 16xlarge,m6a.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R8G 12xlarge,r8g.12xlarge,384.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M6ID 12xlarge,m6id.12xlarge,192.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5N 12xlarge,m5n.12xlarge,192.0 GiB,48 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M8G 16xlarge,m8g.16xlarge,256.0 GiB,64 vCPUs,EBS only,30 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
IM4GN Eight Extra Large,im4gn.8xlarge,128.0 GiB,32 vCPUs,15000 GB                 (2 * 7500 GB NVMe SSD),50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7IZ Eight Extra Large,r7iz.8xlarge,256.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C7GN 12xlarge,c7gn.12xlarge,96.0 GiB,48 vCPUs,EBS only,150 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,25000.00,30000.00,3125.00,3750.00,100000.00,120000.00
G6E Quadruple Extra Large,g6e.4xlarge,128.0 GiB,16 vCPUs,600 GB                 NVMe SSD,20 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
P3 High Performance GPU Double Extra Large,p3.2xlarge,61.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X8G Eight Extra Large,x8g.8xlarge,512.0 GiB,32 vCPUs,EBS only,15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R5AD 12xlarge,r5ad.12xlarge,384.0 GiB,48 vCPUs,1800 GB                 (2 * 900 GB NVMe SSD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
D3EN 6xlarge,d3en.6xlarge,96.0 GiB,24 vCPUs,167760 GB                 (12 * 13980 GB NVMe HDD),40 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M4 General Purpose 16xlarge,m4.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6ID 16xlarge,c6id.16xlarge,128.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5DN 12xlarge,m5dn.12xlarge,192.0 GiB,48 vCPUs,1800 GB                 (2 * 900 GB NVMe SSD),50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5AD 16xlarge,m5ad.16xlarge,256.0 GiB,64 vCPUs,2400 GB                 (4 * 600 GB NVMe SSD),12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F1 Quadruple Extra Large,f1.4xlarge,244.0 GiB,16 vCPUs,940 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X1E Quadruple Extra Large,x1e.4xlarge,488.0 GiB,16 vCPUs,480 GB                 SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X2IEZN Quadruple Extra Large,x2iezn.4xlarge,512.0 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
I2 Quadruple Extra Large,i2.4xlarge,122.0 GiB,16 vCPUs,3200 GB                 (4 * 800 GB SSD),High,unavailable,unavailable,unavailable,unavailable,unavailable
G4AD 16xlarge,g4ad.16xlarge,256.0 GiB,64 vCPUs,2400 GB                 (2 * 1200 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
High Memory Cluster Eight Extra Large,cr1.8xlarge,244.0 GiB,32 vCPUs,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R5A 16xlarge,r5a.16xlarge,512.0 GiB,64 vCPUs,EBS only,12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A 16xlarge,r6a.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID 12xlarge,r6id.12xlarge,384.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A 24xlarge,c6a.24xlarge,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
H1 16xlarge,h1.16xlarge,256.0 GiB,64 vCPUs,16000 GB                 (8 * 2000 GB HDD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R8G 16xlarge,r8g.16xlarge,512.0 GiB,64 vCPUs,EBS only,30 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M6ID 16xlarge,m6id.16xlarge,256.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5N 16xlarge,m5n.16xlarge,256.0 GiB,64 vCPUs,EBS only,75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8G 24xlarge,c8g.24xlarge,192.0 GiB,96 vCPUs,EBS only,40 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8G Metal-24xl,c8g.metal-24xl,192.0 GiB,96 vCPUs,EBS only,40 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5ZN Metal,m5zn.metal,192.0 GiB,48 vCPUs,EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5ZN 12xlarge,m5zn.12xlarge,192.0 GiB,48 vCPUs,EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C7GN Metal,c7gn.metal,128.0 GiB,64 vCPUs,EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,33333.00,40000.00,4166.62,5000.00,133333.00,160000.00
C7GN 16xlarge,c7gn.16xlarge,128.0 GiB,64 vCPUs,EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,33333.00,40000.00,4166.62,5000.00,133333.00,160000.00
D3 Eight Extra Large,d3.8xlarge,256.0 GiB,32 vCPUs,47520 GB                 (24 * 1980 GB NVMe HDD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X2GD 12xlarge,x2gd.12xlarge,768.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),20 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
